"Folder","Images","TotalMB","SmallestKB"
"100-girlfriends","126","18.97","114.63"
"2-5-dimensional-seduction","118","18.73","121.32"
"arknights","27","5.01","150.26"
"arknights-2","137","26.78","141.1"
"arknights-3","105","21.95","141.49"
"attack-on-titan","27","5.21","174.62"
"attack-on-titan-2","137","26.25","162.47"
"attack-on-titan-3","104","17.88","95.95"
"black-clover","27","4.86","161.07"
"black-clover-2","136","26.03","122.14"
"bleach-thousand-year-blood-war","20","3.78","141.53"
"bleach-thousand-year-blood-war-2","132","25.8","140.53"
"bleach-thousand-year-blood-war-3","98","19.28","148.12"
"bleach-thousand-year-blood-war-4","12","1.91","133.77"
"blue-lock","20","3.51","81.5"
"blue-lock-2","134","24.91","121.21"
"blue-lock-3","12","3.02","225.43"
"chained-soldier","125","24.99","123.71"
"chainsaw-man","122","24.24","107.97"
"code-geass","20","2.25","91.57"
"code-geass-2","134","16.06","72.59"
"code-geass-3","97","15.45","116.35"
"code-geass-roze","114","20.52","147.84"
"demon-slayer","20","2.98","20.57"
"demon-slayer-2","134","22","131.22"
"demon-slayer-3","102","17.3","128.07"
"demon-slayer-4","12","2.55","180.4"
"dr-stone","20","3.67","165.23"
"dr-stone-2","134","25.86","162.83"
"eminence-in-shadow","131","27.19","155.09"
"evangelion","27","4.38","29.92"
"evangelion-2","136","23.49","96.92"
"fullmetal-alchemist","27","4.83","101.01"
"fullmetal-alchemist-2","138","25.37","139.69"
"gakuen-idolmaster","148","25.33","118.69"
"gakuen-idolmaster-2","139","29.22","159.87"
"gamera-rebirth","113","19.3","105.21"
"gintama","20","3.27","15.09"
"gintama-2","134","24.05","65.06"
"haikyu","27","4.14","99.3"
"haikyu-2","134","21.22","111.04"
"hunter-x-hunter","20","3.18","34.62"
"hunter-x-hunter-2","134","21.71","93.83"
"hunter-x-hunter-3","96","17.06","95.55"
"idolmaster-shiny-colors","20","3.92","159.13"
"idolmaster-shiny-colors-2","139","27.7","152.46"
"idolmaster-shiny-colors-3","113","23.05","155.87"
"idolmaster-shiny-colors-4","100","23.48","185.53"
"inuyasha","117","27","181.43"
"jujutsu-kaisen","20","2.81","73.78"
"jujutsu-kaisen-2","134","19.13","85.45"
"jujutsu-kaisen-3","99","17.17","137.34"
"jujutsu-kaisen-4","12","2.17","162.69"
"kagurabachi","125","28.81","137.59"
"kaiju-no-8","116","21.65","144.68"
"kamen-rider","27","5.14","157.87"
"kamen-rider-2","136","27.27","154.83"
"kamen-rider-3","135","27.67","149.21"
"kingdom","27","5.61","168.66"
"kingdom-2","142","30.16","159.78"
"kinnikuman","117","21.1","36.61"
"macross","27","5.09","146.59"
"macross-2","139","27.48","147.19"
"macross-3","123","24.81","156.01"
"madoka-magica","27","4.04","127.87"
"madoka-magica-2","136","21.99","95.52"
"me-and-roboco","20","2.88","109.64"
"me-and-roboco-2","130","19.22","75.04"
"monogatari-series","27","3.73","105.67"
"monogatari-series-2","147","22.28","108"
"mushoku","97","16.41","0.04"
"mushoku-tensei","120","22.09","150.59"
"my-hero-academia","20","3.07","131.77"
"my-hero-academia-2","134","21.83","130.21"
"my-hero-academia-3","104","18.04","135.44"
"nikke","27","5.6","85.59"
"nikke-2","141","30.46","87.25"
"nikke-3","88","19.32","181.78"
"one-punch-man","27","5.38","163.45"
"one-punch-man-2","135","26.89","121.87"
"re-zero","27","3.96","117.03"
"re-zero-2","137","21.36","123.45"
"rurouni-kenshin","27","5.05","170.3"
"rurouni-kenshin-2","137","26.74","152.3"
"sakamoto-days","114","18.33","104.4"
"series-570801","12","1.88","142.93"
"series-570901","629","116.11","0"
"shangri-la-frontier","115","21.09","121.01"
"shy","114","19.83","150.79"
"solo-leveling","118","25.06","166.29"
"sword-art-online","20","3.07","133.37"
"sword-art-online-2","141","23.77","139.7"
"sword-art-online-3","114","20.13","139.19"
"synduality-noir","20","2.76","114.59"
"synduality-noir-2","135","19.8","104.92"
"tales-of-arise","20","4.08","173.8"
"tales-of-arise-2","134","27.62","158.76"
"tekken-7","20","3.63","149.1"
"tekken-7-2","134","26.05","157.68"
"tensura","20","4.13","23.92"
"tensura-2","134","27.4","145.11"
"tensura-3","101","16.51","124.63"
"tokyo-ghoul","27","6.23","183.95"
"tokyo-ghoul-2","146","32.98","150.13"
"to-love-ru","135","25.51","142.33"
"toriko","20","3.32","153.8"
"toriko-2","135","24.38","148.86"
"undead-unluck","115","20.19","128.5"
"wind-breaker","116","20.68","107.08"
"wind-breaker-2","4","0.72","151.97"
"yu-yu-hakusho","27","5.08","173.61"
"yu-yu-hakusho-2","136","25.92","119.59"
